5,1420,ARACAJU,,,SALGADO,,,800
5,1421,ARACAJU,,,AGUA FRIA,,,850
5,1423,ARACAJU,,,F. CONCEICAO,,,1000
5,1425,ARACAJU,,,BOQUIM,,,1100
5,1435,POSTO FISCAL,,,ENTR. S. CRISTOVAO,,,150
5,1437,POSTO FISCAL,,,ITAPORANGA,,,270
5,1438,POSTO FISCAL,,,ENTR. SALGADO,,,550
5,1439,POSTO FISCAL,,,CARLOS TORRES,,,600
5,1440,POSTO FISCAL,,,SALGADO,,,650
5,1441,POSTO FISCAL,,,AGUA FRIA,,,700
5,1443,POSTO FISCAL,,,F. CONCEICAO,,,750
5,1445,POSTO FISCAL,,,BOQUIM,,,800
5,1448,POSTO FISCAL,,,PEDRINHAS,,,900
5,1474,ENTR. S. CRISTOVAO,,,ITAPORANGA,,,200
5,1475,ENTR. S. CRISTOVAO,,,ENTR. SALGADO,,,200
5,1476,ENTR. S. CRISTOVAO,,,CARLOS TORRES,,,300
5,1477,ENTR. S. CRISTOVAO,,,SALGADO,,,400
5,1478,ENTR. S. CRISTOVAO,,,AGUA FRIA,,,450
5,1480,ENTR. S. CRISTOVAO,,,F. CONCEICAO,,,550
5,1482,ENTR. S. CRISTOVAO,,,BOQUIM,,,650
5,1485,ENTR. S. CRISTOVAO,,,PEDRINHAS,,,800
5,1508,ITAPORANGA,,,ENTR. SALGADO,,,200
5,1509,ITAPORANGA,,,CARLOS TORRES,,,300
5,1510,ITAPORANGA,,,SALGADO,,,400
5,1511,ITAPORANGA,,,AGUA FRIA,,,450
5,1513,ITAPORANGA,,,F. CONCEICAO,,,550
5,1515,ITAPORANGA,,,BOQUIM,,,600
5,1518,ITAPORANGA,,,PEDRINHAS,,,700
5,1524,ENTR. SALGADO,,,CARLOS TORRES,,,200
5,1525,ENTR. SALGADO,,,SALGADO,,,250
5,1526,ENTR. SALGADO,,,AGUA FRIA,,,350
5,1528,ENTR. SALGADO,,,F. CONCEICAO,,,500
5,1530,ENTR. SALGADO,,,BOQUIM,,,550
5,1533,ENTR. SALGADO,,,PEDRINHAS,,,600
5,1539,CARLOS TORRES,,,SALGADO,,,200
5,1540,CARLOS TORRES,,,AGUA FRIA,,,350
5,1542,CARLOS TORRES,,,F. CONCEICAO,,,400
